"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
0.5,0,50
0.5,0,51
0.5,0,52
1,1,53
1,1,54
1,1,55
1,1,56
0.985,0.902447745155178,57
0.99,0.929125223854907,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
0.995,0.959565905698885,64
0.99,0.929125223854907,65
0.99,0.929125223854907,66
0.99,0.929125223854907,67
0.995,0.959565905698885,68
0.985,0.902447745155178,69
0.99,0.929125223854907,70
0.98,0.878206370275628,71
0.985,0.902447745155178,72
1,1,73
0.97,0.834763658707512,74
0.955,0.778190793392485,75
0.96,0.796128522054909,76
0.96,0.796128522054909,77
0.985,0.902447745155178,78
0.98,0.878206370275628,79
0.99,0.929125223854907,80
0.995,0.959565905698885,81
0.995,0.959565905698885,82
1,1,83
0.945,0.744551951100913,84
0.995,0.959565905698885,85
0.98,0.878206370275628,86
0.99,0.929125223854907,87
0.995,0.959565905698885,88
0.985,0.902447745155178,89
0.955,0.778190793392485,90
0.98,0.878206370275628,91
0.96,0.796128522054909,92
0.99,0.929125223854907,93
0.98,0.878206370275628,94
0.985,0.902447745155178,95
0.97,0.834763658707512,96
0.945,0.744551951100913,97
0.925,0.68436284009563,98
0.91,0.644029137310231,99
0.89,0.595191298235979,100
0.885,0.583728971701862,101
0.86,0.530151068196331,102
0.885,0.583728971701862,103
0.91,0.644029137310231,104
0.905,0.631335011527646,105
0.9,0.618977004017456,106
0.84,0.491088303422743,107
0.88,0.572533046963643,108
0.88,0.572533046963643,109
0.885,0.583728971701862,110
0.9,0.618977004017456,111
0.89,0.595191298235979,112
0.925,0.68436284009563,113
0.915,0.657081523142653,114
0.92,0.670516855707196,115
0.895,0.606935138761001,116
0.885,0.583728971701862,117
0.875,0.561589636563919,118
0.85,0.510243271314823,119
0.785,0.396597639388205,120
0.89,0.595191298235979,121
0.87,0.550885931525912,122
0.87,0.550885931525912,123
0.855,0.520098655874549,124
0.835,0.481772404439723,125
0.915,0.657081523142653,126
0.84,0.491088303422743,127
0.815,0.446083186118773,128
0.9,0.618977004017456,129
0.855,0.520098655874549,130
0.855,0.520098655874549,131
0.89,0.595191298235979,132
0.89,0.595191298235979,133
0.865,0.540410077356874,134
0.805,0.429093180466971,135
0.84,0.491088303422743,136
0.85,0.510243271314823,137
0.84,0.491088303422743,138
0.845,0.500575956225322,139
0.83,0.472620803311967,140
0.855,0.520098655874549,141
0.86,0.530151068196331,142
0.845,0.500575956225322,143
0.825,0.463626455634785,144
0.81,0.437521924292736,145
0.86,0.530151068196331,146
0.895,0.606935138761001,147
0.865,0.540410077356874,148
0.895,0.606935138761001,149
0.865,0.540410077356874,150
