"purity","vmeasure","batch_number"
1,1,1
1,1,2
0.995,0.959565905698885,3
0.995,0.959565905698885,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
0.995,0.959565905698885,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
0.995,0.959565905698885,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
0.995,0.959565905698885,39
1,1,40
1,1,41
1,1,42
0.995,0.959565905698885,43
1,1,44
1,1,45
0.995,0.959565905698885,46
1,1,47
1,1,48
1,1,49
0.5,0,50
0.5,0,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
0.985,0.902447745155178,63
0.99,0.929125223854907,64
0.99,0.929125223854907,65
0.975,0.855769356199853,66
0.975,0.855769356199853,67
1,1,68
0.98,0.878206370275628,69
0.99,0.929125223854907,70
0.98,0.878206370275628,71
0.97,0.834763658707512,72
1,1,73
1,1,74
1,1,75
0.975,0.855769356199853,76
0.995,0.959565905698885,77
0.99,0.929125223854907,78
0.995,0.959565905698885,79
1,1,80
1,1,81
1,1,82
0.995,0.959565905698885,83
1,1,84
1,1,85
0.995,0.959565905698885,86
0.995,0.959565905698885,87
1,1,88
1,1,89
0.995,0.959565905698885,90
1,1,91
1,1,92
0.98,0.878206370275628,93
0.985,0.902447745155178,94
0.965,0.814942106294828,95
0.94,0.728700879801575,96
1,1,97
1,1,98
0.99,0.929125223854907,99
0.985,0.902447745155178,100
1,1,101
0.995,0.959565905698885,102
0.985,0.902447745155178,103
0.99,0.929125223854907,104
0.985,0.902447745155178,105
0.995,0.959565905698885,106
1,1,107
0.965,0.814942106294828,108
0.96,0.796128522054909,109
0.945,0.744551951100913,110
0.95,0.76102607164173,111
0.95,0.76102607164173,112
0.93,0.698650799163015,113
0.97,0.834763658707512,114
0.99,0.929125223854907,115
1,1,116
0.99,0.929125223854907,117
0.98,0.878206370275628,118
0.995,0.959565905698885,119
0.955,0.778190793392485,120
0.97,0.834763658707512,121
0.98,0.878206370275628,122
0.95,0.76102607164173,123
0.975,0.855769356199853,124
0.975,0.855769356199853,125
0.99,0.929125223854907,126
0.93,0.698650799163015,127
0.88,0.572533046963643,128
0.91,0.644029137310231,129
0.915,0.657081523142653,130
0.96,0.796128522054909,131
0.97,0.834763658707512,132
0.945,0.744551951100913,133
0.965,0.814942106294828,134
0.945,0.744551951100913,135
0.905,0.631335011527646,136
0.91,0.644029137310231,137
0.905,0.631335011527646,138
0.92,0.670516855707196,139
0.89,0.595191298235979,140
0.865,0.540410077356874,141
0.89,0.595191298235979,142
0.895,0.606935138761001,143
0.92,0.670516855707196,144
0.895,0.606935138761001,145
0.85,0.510243271314823,146
0.865,0.540410077356874,147
0.86,0.530151068196331,148
0.875,0.561589636563919,149
0.88,0.572533046963643,150
