"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
0.995,0.959565905698885,4
1,1,5
1,1,6
1,1,7
0.995,0.959565905698885,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
0.995,0.959565905698885,25
1,1,26
1,1,27
1,1,28
0.995,0.959565905698885,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
0.995,0.959565905698885,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
0.995,0.959565905698885,56
1,1,57
0.99,0.929125223854907,58
1,1,59
1,1,60
1,1,61
1,1,62
0.995,0.959565905698885,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
1,1,90
1,1,91
1,1,92
1,1,93
1,1,94
1,1,95
1,1,96
0.885,0.583728971701862,97
0.83,0.472620803311967,98
0.84,0.491088303422743,99
0.845,0.500575956225322,100
0.87,0.550885931525912,101
0.855,0.520098655874549,102
0.87,0.550885931525912,103
0.87,0.550885931525912,104
0.89,0.595191298235979,105
1,1,106
0.84,0.491088303422743,107
0.87,0.550885931525912,108
0.87,0.550885931525912,109
0.875,0.561589636563919,110
0.86,0.530151068196331,111
0.875,0.561589636563919,112
0.815,0.446083186118773,113
0.91,0.644029137310231,114
0.875,0.561589636563919,115
0.875,0.561589636563919,116
0.895,0.606935138761001,117
0.86,0.530151068196331,118
0.89,0.595191298235979,119
0.87,0.550885931525912,120
0.895,0.606935138761001,121
0.88,0.572533046963643,122
0.84,0.491088303422743,123
0.865,0.540410077356874,124
0.87,0.550885931525912,125
0.86,0.530151068196331,126
0.885,0.583728971701862,127
0.845,0.500575956225322,128
0.87,0.550885931525912,129
0.87,0.550885931525912,130
0.875,0.561589636563919,131
0.875,0.561589636563919,132
0.9,0.618977004017456,133
0.86,0.530151068196331,134
0.81,0.437521924292736,135
0.87,0.550885931525912,136
0.82,0.454782692133726,137
0.865,0.540410077356874,138
0.83,0.472620803311967,139
0.86,0.530151068196331,140
0.84,0.491088303422743,141
0.9,0.618977004017456,142
0.845,0.500575956225322,143
0.855,0.520098655874549,144
0.85,0.510243271314823,145
0.875,0.561589636563919,146
0.865,0.540410077356874,147
0.905,0.631335011527646,148
0.87,0.550885931525912,149
0.89,0.595191298235979,150
