"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
0.995,0.959565905698885,8
1,1,9
0.995,0.959565905698885,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
0.995,0.959565905698885,25
1,1,26
0.995,0.959565905698885,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
0.995,0.959565905698885,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
0.995,0.959565905698885,46
1,1,47
1,1,48
1,1,49
0.5,0,50
0.5,0,51
0.5,0,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
0.995,0.959565905698885,66
0.995,0.959565905698885,67
1,1,68
0.995,0.959565905698885,69
0.995,0.959565905698885,70
0.985,0.902447745155178,71
1,1,72
0.98,0.878206370275628,73
0.98,0.878206370275628,74
0.99,0.929125223854907,75
0.995,0.959565905698885,76
0.965,0.814942106294828,77
0.98,0.878206370275628,78
0.95,0.76102607164173,79
0.945,0.744551951100913,80
0.955,0.778190793392485,81
0.945,0.744551951100913,82
0.93,0.698650799163015,83
0.935,0.713416443766108,84
0.905,0.631335011527646,85
0.935,0.713416443766108,86
0.95,0.76102607164173,87
0.93,0.698650799163015,88
0.92,0.670516855707196,89
0.93,0.698650799163015,90
0.94,0.728700879801575,91
0.93,0.698650799163015,92
0.9,0.618977004017456,93
0.92,0.670516855707196,94
0.94,0.728700879801575,95
0.93,0.698650799163015,96
0.935,0.713416443766108,97
0.83,0.472620803311967,98
0.9,0.618977004017456,99
0.935,0.713416443766108,100
0.94,0.728700879801575,101
0.92,0.670516855707196,102
0.955,0.778190793392485,103
0.935,0.713416443766108,104
0.91,0.644029137310231,105
0.91,0.644029137310231,106
0.92,0.670516855707196,107
0.92,0.670516855707196,108
0.915,0.657081523142653,109
0.925,0.68436284009563,110
0.905,0.631335011527646,111
0.89,0.595191298235979,112
0.91,0.644029137310231,113
0.885,0.583728971701862,114
0.92,0.670516855707196,115
0.905,0.631335011527646,116
0.905,0.631335011527646,117
0.905,0.631335011527646,118
0.925,0.68436284009563,119
0.86,0.530151068196331,120
0.93,0.698650799163015,121
0.96,0.796128522054909,122
0.905,0.631335011527646,123
0.925,0.68436284009563,124
0.935,0.713416443766108,125
0.92,0.670516855707196,126
0.93,0.698650799163015,127
0.875,0.561589636563919,128
0.925,0.68436284009563,129
0.915,0.657081523142653,130
0.925,0.68436284009563,131
0.905,0.631335011527646,132
0.945,0.744551951100913,133
0.925,0.68436284009563,134
0.925,0.68436284009563,135
0.92,0.670516855707196,136
0.93,0.698650799163015,137
0.92,0.670516855707196,138
0.92,0.670516855707196,139
0.91,0.644029137310231,140
0.87,0.550885931525912,141
0.91,0.644029137310231,142
0.92,0.670516855707196,143
0.91,0.644029137310231,144
0.915,0.657081523142653,145
0.88,0.572533046963643,146
0.915,0.657081523142653,147
0.86,0.530151068196331,148
0.865,0.540410077356874,149
0.89,0.595191298235979,150
