"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
0.995,0.959565905698885,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
0.995,0.959565905698885,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
0.995,0.959565905698885,37
1,1,38
1,1,39
0.995,0.959565905698885,40
1,1,41
1,1,42
1,1,43
1,1,44
0.995,0.959565905698885,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
0.995,0.959565905698885,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
0.995,0.959565905698885,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
1,1,90
1,1,91
1,1,92
1,1,93
1,1,94
1,1,95
1,1,96
1,1,97
1,1,98
1,1,99
1,1,100
1,1,101
1,1,102
1,1,103
1,1,104
1,1,105
1,1,106
1,1,107
1,1,108
1,1,109
1,1,110
1,1,111
0.9,0.618977004017456,112
0.865,0.540410077356874,113
0.89,0.595191298235979,114
0.905,0.631335011527646,115
0.93,0.698650799163015,116
1,1,117
1,1,118
1,1,119
1,1,120
1,1,121
1,1,122
0.865,0.540410077356874,123
0.86,0.530151068196331,124
0.86,0.530151068196331,125
0.855,0.520098655874549,126
1,1,127
0.895,0.606935138761001,128
0.9,0.618977004017456,129
0.895,0.606935138761001,130
0.86,0.530151068196331,131
0.915,0.657081523142653,132
0.81,0.437521924292736,133
0.915,0.657081523142653,134
0.93,0.698650799163015,135
0.945,0.744551951100913,136
0.94,0.728700879801575,137
0.93,0.698650799163015,138
0.95,0.76102607164173,139
0.94,0.728700879801575,140
0.925,0.68436284009563,141
0.92,0.670516855707196,142
0.905,0.631335011527646,143
0.93,0.698650799163015,144
0.94,0.728700879801575,145
0.93,0.698650799163015,146
0.935,0.713416443766108,147
0.905,0.631335011527646,148
0.91,0.644029137310231,149
0.905,0.631335011527646,150
