"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
0.995,0.959565905698885,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
0.995,0.959565905698885,14
0.995,0.959565905698885,15
1,1,16
1,1,17
0.995,0.959565905698885,18
1,1,19
1,1,20
0.995,0.959565905698885,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
0.99,0.929125223854907,30
0.995,0.959565905698885,31
0.995,0.959565905698885,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
0.995,0.959565905698885,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
0.995,0.959565905698885,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
0.995,0.959565905698885,90
1,1,91
0.995,0.959565905698885,92
1,1,93
1,1,94
1,1,95
1,1,96
1,1,97
1,1,98
1,1,99
1,1,100
1,1,101
1,1,102
1,1,103
1,1,104
0.995,0.959565905698885,105
1,1,106
1,1,107
0.975,0.855769356199853,108
0.995,0.959565905698885,109
1,1,110
1,1,111
1,1,112
0.995,0.959565905698885,113
0.965,0.814942106294828,114
1,1,115
1,1,116
1,1,117
1,1,118
0.995,0.959565905698885,119
1,1,120
1,1,121
0.985,0.902447745155178,122
0.98,0.878206370275628,123
0.94,0.728700879801575,124
0.985,0.902447745155178,125
0.935,0.713416443766108,126
0.925,0.68436284009563,127
0.93,0.698650799163015,128
0.95,0.76102607164173,129
0.95,0.76102607164173,130
0.85,0.510243271314823,131
0.84,0.491088303422743,132
0.79,0.404548618006053,133
0.86,0.530151068196331,134
0.825,0.463626455634785,135
0.83,0.472620803311967,136
0.8,0.42079149180514,137
0.855,0.520098655874549,138
0.845,0.500575956225322,139
0.88,0.572533046963643,140
0.855,0.520098655874549,141
0.84,0.491088303422743,142
0.87,0.550885931525912,143
0.845,0.500575956225322,144
0.9,0.618977004017456,145
0.835,0.481772404439723,146
0.86,0.530151068196331,147
0.845,0.500575956225322,148
0.835,0.481772404439723,149
0.85,0.510243271314823,150
