"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
0.995,0.959565905698885,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
0.995,0.959565905698885,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
0.995,0.959565905698885,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
0.5,0,50
0.5,0,51
0.5,0,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
0.99,0.929125223854907,81
1,1,82
0.985,0.902447745155178,83
0.985,0.902447745155178,84
0.995,0.959565905698885,85
0.975,0.855769356199853,86
0.985,0.902447745155178,87
0.995,0.959565905698885,88
0.99,0.929125223854907,89
1,1,90
0.995,0.959565905698885,91
0.99,0.929125223854907,92
1,1,93
0.99,0.929125223854907,94
0.99,0.929125223854907,95
0.99,0.929125223854907,96
0.995,0.959565905698885,97
0.995,0.959565905698885,98
0.995,0.959565905698885,99
0.97,0.834763658707512,100
0.975,0.855769356199853,101
0.965,0.814942106294828,102
0.965,0.814942106294828,103
0.98,0.878206370275628,104
0.995,0.959565905698885,105
0.995,0.959565905698885,106
0.98,0.878206370275628,107
0.99,0.929125223854907,108
0.985,0.902447745155178,109
0.96,0.796128522054909,110
0.985,0.902447745155178,111
0.99,0.929125223854907,112
0.99,0.929125223854907,113
0.97,0.834763658707512,114
0.93,0.698650799163015,115
0.955,0.778190793392485,116
0.91,0.644029137310231,117
0.93,0.698650799163015,118
0.92,0.670516855707196,119
0.92,0.670516855707196,120
0.95,0.76102607164173,121
0.905,0.631335011527646,122
0.935,0.713416443766108,123
0.95,0.76102607164173,124
0.955,0.778190793392485,125
0.935,0.713416443766108,126
0.97,0.834763658707512,127
0.955,0.778190793392485,128
0.94,0.728700879801575,129
0.97,0.834763658707512,130
0.94,0.728700879801575,131
0.915,0.657081523142653,132
0.95,0.76102607164173,133
0.92,0.670516855707196,134
0.91,0.644029137310231,135
0.91,0.644029137310231,136
0.945,0.744551951100913,137
0.88,0.572533046963643,138
0.905,0.631335011527646,139
0.93,0.698650799163015,140
0.935,0.713416443766108,141
0.925,0.68436284009563,142
0.905,0.631335011527646,143
0.905,0.631335011527646,144
0.895,0.606935138761001,145
0.93,0.698650799163015,146
0.905,0.631335011527646,147
0.925,0.68436284009563,148
0.935,0.713416443766108,149
0.945,0.744551951100913,150
