"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
1,1,87
1,1,88
1,1,89
1,1,90
1,1,91
1,1,92
0.845,0.486346179958546,93
0.83,0.467118902582419,94
0.775,0.386256874281744,95
1,1,96
1,1,97
1,1,98
0.915,0.658326042921717,99
0.95,0.76025421807263,100
0.92,0.670205385381846,101
1,1,102
1,1,103
1,1,104
0.87,0.53533271029229,105
0.78,0.382510081623406,106
1,1,107
1,1,108
0.76,0.310153580578442,109
0.675,0.208264092122138,110
0.58,0.134575036879733,111
0.585,0.136577742882909,112
0.74,0.336051415506879,113
0.725,0.301907795407741,114
0.78,0.394893248510397,115
0.845,0.503405571806126,116
0.785,0.406021541254037,117
0.75,0.35705722038324,118
0.74,0.332878311214698,119
0.725,0.327507905737934,120
0.68,0.230478230493018,121
0.7,0.264394233230763,122
0.6,0.178093412444267,123
0.715,0.28272582759595,124
0.69,0.261480082405763,125
0.73,0.30902528344567,126
0.705,0.297947654902484,127
0.805,0.426623846170833,128
0.74,0.336051415506879,129
0.755,0.341573949552945,130
1,1,131
0.815,0.439872973500624,132
0.81,0.438609727992782,133
0.775,0.379516785779148,134
0.72,0.297176450502787,135
0.695,0.2655708689641,136
0.62,0.202411603992472,137
0.7,0.272241590043024,138
0.64,0.18699892935535,139
0.605,0.153445651406054,140
0.6,0.147082192236725,141
0.54,0.0989920121163743,142
0.775,0.377942458196374,143
0.87,0.551485766824681,144
0.85,0.508572793786105,145
0.78,0.395912799530637,146
0.815,0.446083186118773,147
0.845,0.496833957730999,148
1,1,149
0.76,0.351237828721931,150
