"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
0.995,0.959565905698885,6
1,1,7
1,1,8
0.995,0.959565905698885,9
0.995,0.959565905698885,10
0.99,0.929125223854907,11
1,1,12
1,1,13
1,1,14
1,1,15
0.995,0.959565905698885,16
0.995,0.959565905698885,17
0.995,0.959565905698885,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
0.995,0.959565905698885,27
0.995,0.959565905698885,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
0.995,0.959565905698885,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
0.995,0.959565905698885,45
1,1,46
1,1,47
1,1,48
1,1,49
0.5,0,50
0.5,0,51
0.5,0,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
0.98,0.878206370275628,59
0.97,0.834763658707512,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
1,1,81
1,1,82
1,1,83
1,1,84
1,1,85
1,1,86
0.92,0.670516855707196,87
1,1,88
0.92,0.670516855707196,89
0.89,0.595191298235979,90
0.965,0.814942106294828,91
1,1,92
0.92,0.670516855707196,93
0.945,0.744551951100913,94
0.93,0.698650799163015,95
0.94,0.728700879801575,96
0.945,0.744551951100913,97
0.93,0.698650799163015,98
0.925,0.68436284009563,99
0.94,0.728700879801575,100
0.93,0.698650799163015,101
0.93,0.698650799163015,102
0.925,0.68436284009563,103
0.94,0.728700879801575,104
0.91,0.644029137310231,105
0.93,0.698650799163015,106
0.89,0.595191298235979,107
0.925,0.68436284009563,108
0.94,0.728700879801575,109
0.905,0.631335011527646,110
0.95,0.76102607164173,111
0.89,0.595191298235979,112
0.915,0.657081523142653,113
0.955,0.778190793392485,114
0.895,0.606935138761001,115
0.955,0.778190793392485,116
0.925,0.68436284009563,117
0.88,0.572533046963643,118
0.91,0.644029137310231,119
0.935,0.713416443766108,120
0.92,0.670516855707196,121
0.915,0.657081523142653,122
0.885,0.583728971701862,123
0.93,0.698650799163015,124
0.9,0.618977004017456,125
0.915,0.657081523142653,126
0.93,0.698650799163015,127
0.925,0.68436284009563,128
0.89,0.595191298235979,129
0.91,0.644029137310231,130
0.915,0.657081523142653,131
0.88,0.572533046963643,132
0.92,0.670516855707196,133
0.935,0.713416443766108,134
0.93,0.698650799163015,135
0.935,0.713416443766108,136
0.91,0.644029137310231,137
0.93,0.698650799163015,138
0.96,0.796128522054909,139
0.93,0.698650799163015,140
0.905,0.631335011527646,141
0.885,0.583728971701862,142
0.89,0.595191298235979,143
0.88,0.572533046963643,144
0.92,0.670516855707196,145
0.92,0.670516855707196,146
0.885,0.583728971701862,147
0.89,0.595191298235979,148
0.86,0.530151068196331,149
0.855,0.520098655874549,150
