"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
1,1,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
1,1,75
1,1,76
1,1,77
1,1,78
1,1,79
1,1,80
0.795,0.401983576909604,81
0.9,0.619723697117366,82
0.795,0.389682896690147,83
0.83,0.458298624794662,84
0.82,0.445945958578548,85
1,1,86
0.85,0.51507786450783,87
0.79,0.393544193491289,88
0.72,0.31532508029477,89
0.735,0.313977999550573,90
0.68,0.272675930659202,91
0.685,0.243800946914579,92
0.65,0.175877516077492,93
0.675,0.239270715274827,94
1,1,95
1,1,96
1,1,97
1,1,98
1,1,99
0.795,0.403732780827142,100
0.76,0.367799605297657,101
0.81,0.443809645710538,102
0.865,0.544525552741895,103
0.855,0.525216985366962,104
0.82,0.459166208642151,105
0.865,0.52253987048364,106
0.645,0.248707212212545,107
0.67,0.240954956506691,108
0.675,0.26021626803545,109
0.82,0.455782133709799,110
0.83,0.459949321712607,111
0.74,0.331167585949718,112
0.77,0.374843430676802,113
0.775,0.377942458196374,114
0.7,0.279118383863283,115
0.74,0.345670402461987,116
0.78,0.393805868174249,117
0.74,0.336051415506879,118
0.715,0.305928588989624,119
0.685,0.27029117819867,120
0.78,0.384188571049897,121
0.8,0.429064007806113,122
0.73,0.325502634887543,123
0.7,0.286919051151417,124
0.74,0.306163489825183,125
0.795,0.389682896690147,126
0.825,0.462608100180922,127
0.88,0.573542212119142,128
0.88,0.573975812641417,129
0.9,0.61569117527807,130
0.8,0.415374606203578,131
0.83,0.472620803311967,132
0.77,0.37756100067022,133
0.81,0.438609727992782,134
0.865,0.531053825931791,135
0.81,0.424598422320765,136
0.715,0.305928588989624,137
0.695,0.270396372965032,138
0.635,0.226652736277014,139
0.735,0.295406573388267,140
0.94,0.729237859654501,141
0.88,0.575607163337,142
0.855,0.523579105353203,143
0.79,0.412032069665979,144
0.875,0.558016647175241,145
0.855,0.518509814413678,146
0.92,0.67166379358045,147
0.8,0.423082258347728,148
0.825,0.470537908523729,149
0.92,0.671609437685222,150
