"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
0.995,0.959565905698885,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
0.995,0.959565905698885,25
1,1,26
1,1,27
1,1,28
0.995,0.959565905698885,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
0.99,0.919206864104089,36
0.995,0.959565905698885,37
1,1,38
0.995,0.959565905698885,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
0.5,0,50
0.5,0,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
0.985,0.902447745155178,67
1,1,68
1,1,69
1,1,70
1,1,71
1,1,72
1,1,73
1,1,74
0.995,0.959565905698885,75
1,1,76
1,1,77
0.99,0.929125223854907,78
0.985,0.902447745155178,79
0.99,0.929125223854907,80
1,1,81
0.985,0.902447745155178,82
0.885,0.583728971701862,83
0.93,0.698650799163015,84
0.885,0.583728971701862,85
0.925,0.68436284009563,86
0.9,0.618977004017456,87
0.9,0.618977004017456,88
0.915,0.657081523142653,89
0.915,0.657081523142653,90
0.92,0.670516855707196,91
0.93,0.698650799163015,92
0.93,0.698650799163015,93
0.965,0.814942106294828,94
0.965,0.814942106294828,95
0.965,0.814942106294828,96
0.96,0.796128522054909,97
0.92,0.670516855707196,98
0.94,0.728700879801575,99
0.93,0.698650799163015,100
0.94,0.728700879801575,101
0.945,0.744551951100913,102
0.97,0.834763658707512,103
0.975,0.855769356199853,104
0.96,0.796128522054909,105
0.955,0.778190793392485,106
0.97,0.834763658707512,107
0.96,0.796128522054909,108
0.955,0.778190793392485,109
0.915,0.657081523142653,110
0.875,0.561589636563919,111
0.915,0.657081523142653,112
0.91,0.644029137310231,113
0.97,0.834763658707512,114
0.94,0.728700879801575,115
0.89,0.595191298235979,116
0.93,0.698650799163015,117
0.915,0.657081523142653,118
0.915,0.657081523142653,119
0.895,0.606935138761001,120
0.88,0.572533046963643,121
0.885,0.583728971701862,122
0.87,0.550885931525912,123
0.855,0.520098655874549,124
0.89,0.595191298235979,125
0.885,0.583728971701862,126
0.91,0.644029137310231,127
0.895,0.606935138761001,128
0.92,0.670516855707196,129
0.885,0.583728971701862,130
0.94,0.728700879801575,131
0.925,0.68436284009563,132
0.93,0.698650799163015,133
0.915,0.657081523142653,134
0.865,0.540410077356874,135
0.945,0.744551951100913,136
0.89,0.595191298235979,137
0.925,0.68436284009563,138
0.905,0.631335011527646,139
0.905,0.631335011527646,140
0.9,0.618977004017456,141
0.945,0.744551951100913,142
0.92,0.670516855707196,143
0.94,0.728700879801575,144
0.9,0.618977004017456,145
0.93,0.698650799163015,146
0.92,0.670516855707196,147
0.935,0.713416443766108,148
0.94,0.728700879801575,149
0.915,0.657081523142653,150
