"purity","vmeasure","batch_number"
1,1,1
1,1,2
1,1,3
0.995,0.959565905698885,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
0.995,0.959565905698885,19
0.995,0.959565905698885,20
1,1,21
1,1,22
1,1,23
0.995,0.959565905698885,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
0.995,0.959565905698885,37
1,1,38
0.995,0.959565905698885,39
1,1,40
1,1,41
1,1,42
1,1,43
1,1,44
1,1,45
1,1,46
1,1,47
1,1,48
1,1,49
0.5,0,50
1,1,51
1,1,52
1,1,53
1,1,54
1,1,55
1,1,56
1,1,57
1,1,58
1,1,59
1,1,60
1,1,61
1,1,62
1,1,63
1,1,64
1,1,65
1,1,66
1,1,67
0.995,0.959565905698885,68
0.995,0.959565905698885,69
1,1,70
0.995,0.959565905698885,71
0.995,0.959565905698885,72
0.995,0.959565905698885,73
0.995,0.959565905698885,74
0.995,0.959565905698885,75
0.99,0.929125223854907,76
0.95,0.76102607164173,77
0.95,0.76102607164173,78
0.96,0.796128522054909,79
0.935,0.713416443766108,80
0.93,0.698650799163015,81
0.91,0.644029137310231,82
0.92,0.670516855707196,83
0.93,0.698650799163015,84
0.9,0.618977004017456,85
0.935,0.713416443766108,86
0.945,0.744551951100913,87
0.94,0.728700879801575,88
0.93,0.698650799163015,89
0.94,0.728700879801575,90
0.895,0.606935138761001,91
0.885,0.583728971701862,92
0.87,0.550885931525912,93
0.85,0.510243271314823,94
0.905,0.631335011527646,95
0.9,0.618977004017456,96
0.925,0.68436284009563,97
0.94,0.728700879801575,98
0.93,0.698650799163015,99
0.96,0.796128522054909,100
0.935,0.713416443766108,101
0.92,0.670516855707196,102
0.92,0.670516855707196,103
0.93,0.698650799163015,104
0.88,0.572533046963643,105
0.93,0.698650799163015,106
0.91,0.644029137310231,107
0.89,0.595191298235979,108
0.955,0.778190793392485,109
0.91,0.644029137310231,110
0.96,0.796128522054909,111
0.955,0.778190793392485,112
0.91,0.644029137310231,113
0.925,0.68436284009563,114
0.93,0.698650799163015,115
0.91,0.644029137310231,116
0.905,0.631335011527646,117
0.955,0.778190793392485,118
0.93,0.698650799163015,119
0.9,0.618977004017456,120
0.895,0.606935138761001,121
0.885,0.583728971701862,122
0.915,0.657081523142653,123
0.965,0.814942106294828,124
0.945,0.744551951100913,125
0.955,0.778190793392485,126
0.925,0.68436284009563,127
0.95,0.76102607164173,128
0.9,0.618977004017456,129
0.91,0.644029137310231,130
0.91,0.644029137310231,131
0.905,0.631335011527646,132
0.85,0.510243271314823,133
0.905,0.631335011527646,134
0.875,0.561589636563919,135
0.86,0.530151068196331,136
0.865,0.540410077356874,137
0.91,0.644029137310231,138
0.93,0.698650799163015,139
0.945,0.744551951100913,140
0.925,0.68436284009563,141
0.95,0.76102607164173,142
0.935,0.713416443766108,143
0.91,0.644029137310231,144
0.895,0.606935138761001,145
0.93,0.698650799163015,146
0.92,0.670516855707196,147
0.91,0.644029137310231,148
0.89,0.595191298235979,149
0.885,0.583728971701862,150
